Province/State,Country/Region,Lat,Long,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
Capital Federal,Argentina,,,0,0,0,0,1,5,2,2,1,1,1,2,2,6,6,5,4,10,8
Buenos Aires,Argentina,,,0,0,0,0,0,0,0,1,0,1,1,4,1,2,1,1,2,6,15
Catamarca,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco,Argentina,,,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,3,1,1,2
Chubut,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Córdoba,Argentina,,,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,3
Corrientes,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entre Ríos,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Formosa,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La Pampa,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Rioja,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mendoza,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misiones,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuquén,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Río Negro,Argentina,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Salta,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
San Juan,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Luis,Argentina,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Santa Cruz,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Santa Fe,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Santiago del Estero,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tierra del Fuego,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Tucumán,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,
IMPORTADOS,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
CONTACTO DIRECTO,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUTOCTONOS,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIN DETALLE,,,,,,,,,,,,,,,,,,,,,,
TOTAL,Argentina,,,0,0,0,0,1,7,2,3,5,2,2,10,3,11,11,9,14,19,31
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,1,1
